ID,bug_type,species,area_ratio,mask_pixels,total_pixels,roundness,ellipse_fit_quality,vertical_symmetry,horizontal_symmetry,min_R,max_R,mean_R,std_R,med_R,min_G,max_G,mean_G,std_G,med_G,min_B,max_B,mean_B,std_B,med_B,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,edge_density
210,Bumblebee,Bombus hortorum,0.012324125,295779,24000000,0.24550287711016966,0.7252411625398263,0.6370560908274479,0.4095722373663242,0,255,57.092521781465216,51.851572451949025,38.0,0,255,47.9957975380267,45.87597747503047,29.0,0,255,37.495288712180376,46.786175311957855,19.0,0.014449977855087752,0.030370648355698006,0.027872161309626445,0.13779882953150832,0.2033680552033782,0.2164724338103787,0.065947886766809,0.06775328877303663,0.18317054287153584,0.052796175522941115,0.28498304477329356
211,Bee,Thyreus,0.013546875,325125,24000000,0.1539959260190187,0.5361820199106746,0.4507449500020079,0.3442249491458151,0,255,72.60908573625528,59.91080260436272,52.0,0,255,72.53419761630143,58.760370983120765,55.0,0,255,76.91844982698962,60.87832072223988,62.0,0.019936947327950788,0.0401199538638985,0.037530180699730874,0.1428712033833141,0.25209996155324876,0.18937024221453289,0.06598077662437524,0.06265897731641676,0.12692656670511343,0.06250519031141868,0.4832049211841599
212,Bee,Thyreus,0.006400375,153609,24000000,0.37551887605748174,0.8212021850387748,0.6352864777396896,0.4371965082662026,2,255,72.45839761993112,49.4612311793315,66.0,3,255,80.8242095189735,54.57306027050572,74.0,0,255,64.79707569217949,54.522747968784735,47.0,0.010123104765996784,0.021404995801027282,0.022414051260017318,0.1331757904810265,0.35354699268923045,0.2196420782636434,0.06343378317676698,0.046663932451874564,0.09145297476059346,0.03814229634982325,0.5043259184032186
213,Bee,Apis mellifera,0.013624,326976,24000000,0.30071771406279374,0.7654800575813502,0.396939324805824,0.48845339706384433,4,255,117.5688062732433,52.044538007603535,113.0,2,255,101.40415198669015,50.80077160448332,107.0,0,255,74.78958394499902,46.894236972789656,67.0,0.02816108827559209,0.04581070170287727,0.04783225680172245,0.14305942943824623,0.24677652182423174,0.17802835682129575,0.08302750048933255,0.062426600117439814,0.08236690154629087,0.08251064298297123,0.5037005774124095
214,Bumblebee,Bombus hortorum,0.03511875,842850,24000000,0.32714136091794116,0.8291216067344552,0.561186045736259,0.46420400356474656,0,255,64.95735896066915,51.624487608165715,60.0,0,255,56.20595598267782,48.01866448264922,43.0,0,255,46.81347214806905,47.15272456699813,31.0,0.015340807972948923,0.03233908761938661,0.023903422910363646,0.11484724446817346,0.16369816693361808,0.19932846888532954,0.06859939491012636,0.07510707717862015,0.2492092305866999,0.05762709853473334,0.21826184967669218
215,Bumblebee,Bombus hortorum,0.016076375,385833,24000000,0.33711092982208946,0.7889227189382522,0.5230630765769144,0.46586401835782565,3,247,69.99023670862782,57.36548644777741,51.0,2,255,58.93270145373776,47.97927667830672,43.0,0,255,45.41641591051051,41.08701352174409,31.0,0.006549465701482247,0.019350340691439042,0.015226795012349902,0.1317150166004463,0.23330560112794912,0.26487884654759963,0.059919706194130624,0.06525880367931203,0.1716493923536867,0.032146032091604396,0.18137121500752917
216,Bumblebee,Bombus hortorum,0.0360285,864684,24000000,0.26120142546278563,0.7243628155327964,0.3710453085979308,0.7050673797044521,0,255,115.65409906971796,67.8750974696064,119.0,0,255,94.63771851913532,62.417485793960516,94.0,0,255,84.80132395187144,62.910206918717954,72.0,0.02150727895971245,0.042501075537421766,0.03703318206419918,0.13241369101313313,0.23133884748648062,0.19489547626647422,0.08744350537306114,0.06775654458738684,0.11003441719749643,0.07507598151463425,0.3367658011481651
217,Bee,Apis mellifera,0.02317775,556266,24000000,0.24602272195768643,0.736315260194932,0.5200393491002993,0.5550666457932638,3,255,114.63219754577845,54.78655240608329,115.0,0,255,97.70836973678061,54.35260320048081,104.0,0,255,75.56213933621684,53.274533811724304,63.0,0.03378958987247108,0.05522178238468646,0.05416113873578468,0.13772907206264628,0.22661100984061583,0.1648509885558348,0.08712019070013267,0.06826050846177907,0.07946737711814132,0.0927883422679078,0.5581574282807146
218,Bumblebee,Bombus pascuorum,0.019377375,465057,24000000,0.22519375904206648,0.650609534499572,0.36782677494213184,0.557197388247112,2,255,141.6508815048478,64.15728432171079,146.0,1,255,118.03080697634914,63.14326813498946,116.0,0,255,98.94900195029857,61.66344180726921,93.0,0.027099903882749857,0.04690392790561157,0.04604166801058795,0.1428706588654724,0.24098981415181364,0.18045959957596597,0.08384778640037673,0.06266328643585625,0.0853981339921773,0.08372522077938833,0.4568902306598976
219,Bumblebee,Bombus hortorum,0.04788425,1149222,24000000,0.38804801746402884,0.7770030815794686,0.7201372850430849,0.303325957940984,0,255,89.95101642676524,63.1264385494182,80.0,0,255,74.29211327315349,57.89339780563883,62.0,0,255,65.73175591835172,58.04186816984746,48.0,0.019961330360887628,0.04254269410087868,0.038004841536274106,0.14390866168590577,0.22044913863465893,0.19458468424725597,0.09128610486050563,0.0671689194951019,0.10329248830948241,0.07880113676904897,0.3086723017832934
220,Bumblebee,Bombus hortorum,0.043416166666666665,1041988,24000000,0.4230105918015152,0.8730123849569927,0.7134156067320578,0.5564069588025387,0,255,86.24564390376857,69.15306055618244,73.0,0,255,76.08669197725885,65.6711917182429,58.0,0,255,64.87893814516099,64.15181447547008,43.0,0.015228582286936125,0.037034975450772945,0.029297842201637638,0.133038000437625,0.2088354184501165,0.20674230413402073,0.0878925669009624,0.07072442293001455,0.1410323343455011,0.070173552862413,0.22321658214873877
221,Bumblebee,Bombus hortorum,0.038485875,923661,24000000,0.2901770300791745,0.7655731101265408,0.48301374217880727,0.4103718701615194,0,255,94.69786425972299,65.11812060350474,81.0,0,255,80.73899623346661,60.950526298198994,64.0,0,255,69.59042007836209,62.48456431326421,48.0,0.02303442496760175,0.04279275621683713,0.04157802483811701,0.14100519562913233,0.2324478352988813,0.18608775297430552,0.08885944085546538,0.06659477882036807,0.09727161805034532,0.08032817234894621,0.39829764383253163
222,Bumblebee,Bombus hortorum,0.0401345,963228,24000000,0.20547852461132193,0.7315311934519872,0.5361410044590172,0.5424407069527913,2,255,111.52193457831375,68.45712673465599,106.0,0,255,95.65791692101973,64.46151115597758,87.0,0,255,84.60774707545878,68.33706146630144,65.0,0.021361505271856714,0.041796957729634106,0.03821836574518182,0.13899409070334334,0.22875996129680615,0.1939613466385944,0.0894596087323043,0.06638303703795986,0.10225512547392725,0.07881000137039205,0.3511058648627324
223,Bee,Trachusa byssina ,0.007721125,185307,24000000,0.6787358559265501,0.9725063582496939,0.7331693447314764,0.9015207486762714,18,255,143.70944972397157,59.170251111348094,139.0,14,255,136.4037462157393,57.78313120588826,131.0,0,255,125.03914045340974,58.555025218094244,125.0,0.037753565704479596,0.056457662149837835,0.05877273929209366,0.13957378836201548,0.22592778470322222,0.1590118020366203,0.09048767720593394,0.06532402985316259,0.06805463366197716,0.09863631703065723,0.6095506375905929
224,Other,Macroglossum stellatarum,0.022474,539376,24000000,0.21896354133378607,0.41031351215634015,0.44245565334595605,0.018359781465345486,11,255,136.7709760908902,47.929159340927846,136.0,12,254,127.46873238705467,43.61530415652769,123.0,0,255,106.50590867965946,47.028084772936324,104.0,0.019034958915487527,0.04436608228768058,0.03327178072439263,0.14145790691465693,0.20928443238112188,0.21428280086618612,0.0866779389516775,0.0664823796386936,0.10625241019251876,0.07888930912758446,0.24207788259025245
